feature,coefficient,p_value
const,-3.9459,0.4699
HOME,0.4548,0.0
WIN_STREAK,0.0133,0.3468
FGM_rolling5,-0.103,0.5868
FGA_rolling5,-0.0246,0.6931
FG_PCT_rolling5,7.2956,0.5284
FG3M_rolling5,-0.0443,0.7012
FG3A_rolling5,0.0224,0.5157
FG3_PCT_rolling5,0.665,0.8343
FTA_rolling5,-0.0298,0.5772
FT_PCT_rolling5,0.7822,0.5884
OREB_rolling5,0.0355,0.0208
DREB_rolling5,0.0494,0.0
AST_rolling5,0.01,0.3614
STL_rolling5,0.0488,0.0028
BLK_rolling5,0.027,0.129
TOV_rolling5,-0.0719,0.0
PF_rolling5,-0.0053,0.6276
PTS_rolling5,0.0412,0.5433
